angle_rad,retained_fraction,area_fraction,area_error,first_area_error,second_area_error,current_error,current_scaled_error,first_current_error,first_current_scaled_error,current_centroid_error_m,partition_area_error,partition_current_scaled_error,partition_first_current_scaled_error
0.992081890607303,0.0001,1.1508508273356159e-07,0.0,5.646996606382842e-21,2.0274505618510355e-21,5.3586482473555463e-11,4.262865145644895e-16,2.9335773031926475e-12,9.72372435841308e-17,7.369164208853754e-10,8.326672684688674e-17,3.472863828671549e-16,1.230805240489648e-16
0.992081890607303,0.01,0.0011508508273934133,8.673617379884035e-18,1.8562139054008817e-18,4.311333216706769e-19,7.30153715267079e-11,5.80845519261537e-16,4.504724667494669e-12,1.4931497093869374e-16,8.731956141254109e-14,8.326672684688674e-17,3.472863828671549e-16,1.434585073492069e-16
0.992081890607303,0.05,0.02481967411016534,2.42861286636753e-17,4.872882708070266e-18,1.035593995798074e-18,8.094502845779061e-11,6.439268348995163e-16,6.198278958224355e-12,2.0545003542511888e-16,3.390500059291923e-15,2.7755575615628914e-17,4.630485104895398e-16,1.8189604212274034e-16
0.992081890607303,0.15,0.10569704257926135,2.42861286636753e-17,4.2932215667134474e-18,9.723879207613994e-19,6.366462912410498e-11,5.064593083479342e-16,4.46718393149888e-12,1.4807063431038082e-16,6.504819819040922e-16,2.7755575615628914e-17,2.315242552447699e-16,2.47706510866333e-16
0.992081890607303,0.3,0.25365816116245926,3.469446951953614e-17,4.84869951806108e-18,1.3089243737983812e-18,4.001776687800884e-11,3.1834585096155867e-16,2.3187656159247056e-12,7.685850881270303e-17,1.6883057536160649e-16,5.551115123125783e-17,3.472863828671549e-16,8.893503625081131e-17
0.992081890607303,0.5,0.5000000000000001,4.163336342344337e-17,3.878959614448864e-18,1.2121749201579386e-18,3.637978807091713e-11,2.894053190559624e-16,3.858659226461245e-12,1.2790028975995462e-16,8.441528768080324e-17,2.7755575615628914e-17,2.315242552447699e-16,1.636066552600599e-16
0.992081890607303,0.7,0.7463418388375405,2.7755575615628914e-17,4.610090873601838e-18,1.1777450207792429e-18,2.9103830456733704e-11,2.315242552447699e-16,3.858659226461245e-12,1.2790028975995462e-16,5.43054346022841e-17,5.551115123125783e-17,5.788106381119248e-16,1.7566091960238103e-16
0.992081890607303,0.85,0.8943029574207388,2.7755575615628914e-17,5.553824967135427e-18,1.3735604948708198e-18,5.820766091346741e-11,4.630485104895398e-16,4.433786671143025e-12,1.469636385831059e-16,4.628819572127218e-17,2.7755575615628914e-17,4.630485104895398e-16,8.117163224883862e-17
0.992081890607303,0.95,0.9751803258898346,2.7755575615628914e-17,3.878959614448864e-18,1.4557458258026382e-18,2.9103830456733704e-11,2.315242552447699e-16,4.2251908630869664e-12,1.4004945862387968e-16,3.574185558556843e-17,5.551115123125783e-17,3.472863828671549e-16,1.1706011475166972e-16
0.992081890607303,0.99,0.9988491491726064,2.7755575615628914e-17,6.945786685186534e-18,6.90116162689275e-19,2.9103830456733704e-11,2.315242552447699e-16,3.6843131108750645e-12,1.2212136050155382e-16,2.980195483030077e-17,5.551115123125783e-17,5.788106381119248e-16,8.271500881118741e-17
0.992081890607303,0.9999,0.9999998849149172,5.551115123125783e-17,1.7820126515013126e-18,1.9525310291924254e-18,4.3655745685100555e-11,3.472863828671549e-16,8.328288349491658e-12,2.760519731309151e-16,6.670266949577324e-17,8.326672684688674e-17,4.630485104895398e-16,9.576316963294569e-17
0.992081890607303,0.99999,0.9999999988491489,0.0,1.0370654744291095e-17,6.082360112876495e-19,2.9103830456733704e-11,2.315242552447699e-16,4.724932889438255e-12,1.5661405949281278e-16,3.823838272077975e-17,2.7755575615628914e-17,4.630485104895398e-16,1.3589405786995179e-16
1.1574288723751869,1e-05,6.307410883839694e-10,3.3881317890172014e-21,7.0585971568629965e-22,2.294052962148618e-22,6.415915983714292e-11,5.103933559710464e-16,3.0888614563334556e-12,1.0238433925032489e-16,1.9017789990438836e-07,5.551115123125783e-17,5.788106381119248e-16,1.4366869401927305e-16
1.1574288723751869,0.0001,6.30741088408874e-08,3.3881317890172014e-20,7.90578062780676e-21,2.541203316353796e-21,5.6845462365062716e-11,4.522120673318684e-16,3.0747325416217477e-12,1.0191601795539718e-16,1.692058011409564e-09,2.7755575615628914e-17,2.315242552447699e-16,2.285730051079391e-16
1.1574288723751869,0.01,0.0006307410884069505,3.469446951953614e-18,8.696619271885118e-19,2.186821592549933e-19,5.5152327149698976e-11,4.387429856469493e-16,3.202290666283701e-12,1.0614409826723709e-16,1.5078337852410576e-13,2.7755575615628914e-17,5.788106381119248e-16,1.0383782040316499e-16
